iteration	threads	time in ns	matrix size	GMAC/s
9	1	2975700.0	150	1.1341869140034277
9	12	496300.0	150	6.800322385653838
9	1	4463800.0	175	1.2006306286123931
9	12	990700.0	175	5.409685071161805
9	1	6944400.0	200	1.1520073728471862
9	12	737250.0	200	10.851135978297728
9	1	9919800.0	225	1.1482716385410996
9	12	1232250.0	225	9.243761412051127
9	1	13887900.0	250	1.125080105703526
9	12	1488100.0	250	10.49996640010752
9	1	18847700.0	275	1.1034171278193095
9	12	2479750.0	275	8.386682125214236
9	1	24056050.0	300	1.1223787778957892
9	12	3224250.0	300	8.374040474528961
9	1	30751900.0	325	1.1162928144277264
9	12	4212500.0	325	8.149109792284866
9	1	38192100.0	350	1.1226143626561513
9	12	4463750.0	350	9.605152618314198
9	1	46391750.0	375	1.1367188131510453
9	12	5951150.0	375	8.861207497710527
9	1	57053400.0	400	1.1217561091889352
9	12	6688100.0	400	9.569234909765106
9	1	67979050.0	425	1.1292541599213286
9	12	8432250.0	425	9.103812742743633
9	1	80627000.0	450	1.1302045220583676
9	12	9424550.0	450	9.668896658195882
9	1	95505900.0	475	1.122149259888656
9	12	11648350.0	475	9.200605665180047
9	1	110634300.0	500	1.1298485189493674
9	12	12896100.0	500	9.692852878001876
9	1	128237600.0	525	1.1283985742091243
9	12	15871600.0	525	9.117110121222813
9	1	147079700.0	550	1.1311894163504548
9	12	17847900.0	550	9.321824976607893
9	1	169407300.0	575	1.1222029688212964
9	12	21569700.0	575	8.813723649378526
9	1	191465450.0	600	1.1281408734578484
9	12	23062200.0	600	9.365975492364129
9	1	216275950.0	625	1.1288385278159685
9	12	29011900.0	625	8.41518911205402
9	1	243811900.0	650	1.1263806237513427
9	12	31990750.0	650	8.584512710705438
9	1	273691900.0	675	1.1236973947712738
9	12	63984500.0	675	4.806584016441482
9	1	304075550.0	700	1.1280091411492965
9	12	67951850.0	700	5.047691858279061
9	1	361350250.0	725	1.0545948840494783
9	12	80352500.0	725	4.742579571264118
9	1	378476450.0	750	1.114666447542509
9	12	93000550.0	750	4.536263495215889
